consumer_id,meter_number,reference_no,name,father_name,address,tariff_category,connection_date,connected_load_kw,division,sub_division,feeder_name,phase_type,meter_type,meter_make,installation_date,warranty_expiry,last_maintenance_date,latitude,longitude,status,sanctioned_load_kw
1156287,93572699943,11 83792 2677407 U,Mizhir Qaim,Yazeed Rabah,"H NO 219 Sabah Trafficway, MORGHAH, RAWALPINDI",B-1,2021-05-09,23.71,WAPDA TOWN,WESTRIDGE,061118 CHAKLALA,Three,Smart,Siemens,2021-05-09,2023-06-29,,33.59847449546398,73.03725399250874,Suspended,28.298864794425057
6022741,30951395781,11 44664 2936571 U,Taahir Majd,Saal Maalik,"H NO 761 Sabiq Throughway, MORGHAH, RAWALPINDI",A-2b,2018-04-22,28.8,GULBERG,CHAKLALA,061118 CHAKLALA,Single,Smart,Itron,2018-04-22,2030-09-21,2025-11-08,33.54149839016304,73.01575318521495,Active,24.10327834805069
1059486,96461212064,11 44335 3710895 U,Nabeel Taheem,Saabir Buraid,"H NO 565 Ihsaan Fork, KOHAT ROAD, RAWALPINDI",A-1b,2019-07-18,11.92,RAWALPINDI CANTT,DHOKE KALA KHAN,061116 QAYYUMABAD,Single,Smart,Siemens,2019-07-18,2020-08-18,2025-06-25,33.57335095664898,72.98170937855676,Active,9.735439995749115
1669324,61105492160,11 37535 5186414 U,Ubadah Talha,Tahoor Bashaar,"H NO 363 Tadeen Bypass, MORGHAH, RAWALPINDI",A-1a,2016-06-24,4.73,SADDAR,MORGHAH,061117 WESTRIDGE,Single,Smart,Siemens,2016-06-24,2031-02-07,2025-06-22,33.603241620466335,72.96937863618983,Active,5.26427525071132
5163555,32620758283,11 24168 7417985 U,Jalaal Rabah,Sabiq Kashif,"H NO 880 Saajid Tunnel, KOHAT ROAD, RAWALPINDI",A-1b,2017-04-30,21.75,GULBERG,WESTRIDGE,061119 SADDAR,Single,Smart,Itron,2017-04-30,2025-05-16,2025-12-24,33.53739235472058,73.03290331827488,Disconnected,20.255878975420046
5682940,97407507057,11 76768 7705490 U,Zahur Ubay,Maroof Maalik,"H NO 864 Raashid Way, MORGHAH, RAWALPINDI",A-2b,2023-01-18,48.51,WAPDA TOWN,DHOKE KALA KHAN,061116 QAYYUMABAD,Single,Smart,Siemens,2023-01-18,2029-04-01,2025-03-07,33.51892571973533,73.02655712549878,Active,52.94468835690507
9580255,62036302425,11 85574 4188992 U,Nabih Zaakir,Ihsaan Bambad,"H NO 726 Sabeeh Mission, KOHAT ROAD, RAWALPINDI",A-1a,2017-10-18,3.42,SATELLITE TOWN,MORGHAH,061120 KOHAT,Single,Smart,Itron,2017-10-18,2020-03-07,2025-07-27,33.60717708562181,73.02921554099464,Active,3.720623831803084
7851696,62940552452,11 48752 3135534 U,Quadir Raashid,Qadeer Man,"H NO 681 Fidvi Run, KOHAT ROAD, RAWALPINDI",A-1a,2019-03-31,2.24,GULBERG,MORGHAH,061120 KOHAT,Single,Smart,Elster,2019-03-31,2028-06-10,,33.54379137168689,73.00988881499899,Suspended,2.3355687671498675
4585314,76619985038,11 32241 2422633 U,Ibn Aadil,Rabar Raheel,"H NO 680 Nabhan Circle, MORGHAH, RAWALPINDI",A-1a,2016-05-16,2.77,WAPDA TOWN,DHOKE KALA KHAN,061117 WESTRIDGE,Single,Smart,Siemens,2016-05-16,2019-03-05,,33.519721371809275,73.06529360227819,Suspended,3.157509365644203
4262081,76073684406,11 62383 5093379 U,Naadir Zahri,Jamal Maalik,"H NO 705 Qabeel Field, DHOKE KALA KHAN, RAWALPINDI",A-1a,2022-07-27,2.66,SATELLITE TOWN,KOHAT ROAD,061117 WESTRIDGE,Single,Smart,Elster,2022-07-27,,,33.599933634735166,73.01254618254703,Disconnected,2.83830270747188
8425149,68002580547,11 81810 8481188 U,Mizhir Jabr,Kasim Rabb,"H NO 762 Ubaadah Neck, KOHAT ROAD, RAWALPINDI",B-2,2021-03-03,307.84,SADDAR,CHAKLALA,061117 WESTRIDGE,Three,Smart,Elster,2021-03-03,2029-09-21,,33.52284833538648,72.99547281508632,Active,287.6269222694021
3530518,62532868056,11 30028 4589533 U,Khaan Jahdami,Dabir Rafi,"H NO 418 Izaaz Lodge, CHAKLALA, RAWALPINDI",A-2b,2025-02-27,8.63,RAWALPINDI CANTT,KOHAT ROAD,061119 SADDAR,Single,Smart,Siemens,2025-02-27,2026-03-06,2026-01-25,33.592079577231466,73.06150620335902,Active,9.861438975513181
1098919,61293684848,11 49139 7542890 U,Talhah Ghazzal,Najair Saboor,"H NO 977 Ihab Ford, KOHAT ROAD, RAWALPINDI",A-2a,2025-10-24,2.52,RAWALPINDI CANTT,MORGHAH,061120 KOHAT,Single,Smart,Elster,2025-10-24,2028-06-26,2025-05-17,33.51800248199467,73.00051295436984,Disconnected,2.745974828648307
9961107,89001715430,11 83975 1454696 U,Aasif Zaheer,Kawkab Qaasim,"H NO 439 Qawee Road, WESTRIDGE, RAWALPINDI",A-2b,2020-08-22,46.38,SADDAR,WESTRIDGE,061116 QAYYUMABAD,Single,Smart,Elster,2020-08-22,2030-03-21,2025-03-24,33.54885005480739,73.0548639986002,Active,51.055286246588366
2374158,12019952485,11 80702 1873851 U,Rahat Zahri,Maawiya Rafi,"H NO 359 Mahdi Haven, WESTRIDGE, RAWALPINDI",A-2b,2017-05-15,16.35,SATELLITE TOWN,DHOKE KALA KHAN,061116 QAYYUMABAD,Single,Smart,Siemens,2017-05-15,2020-01-20,2025-08-03,33.53895449418889,73.01425610609462,Active,16.768361065822326
7189034,92325027511,11 89593 2921542 U,Umar Baasit,Zaheer Ubadah,"H NO 168 Yawer Wells, CHAKLALA, RAWALPINDI",A-1a,2025-05-13,3.8,SATELLITE TOWN,MORGHAH,061116 QAYYUMABAD,Single,Smart,Elster,2025-05-13,2026-07-04,2025-05-27,33.52269964778431,73.0359614415933,Active,3.1948899842778844
3030966,57421030846,11 79827 8186990 U,Taanish Qabeel,Jalil Aalam,"H NO 71 Nabih Spur, MORGHAH, RAWALPINDI",A-2a,2018-02-01,4.4,WAPDA TOWN,DHOKE KALA KHAN,061119 SADDAR,Single,Conventional,Landis+Gyr,2018-02-01,2028-11-16,2026-01-11,33.60425750148051,73.01287393476018,Active,4.286457375213512
5531230,86964171798,11 73372 8799287 U,Ihtiram Yasir,Yafi Maalik,"H NO 749 Ubaydullah Alley, MORGHAH, RAWALPINDI",A-2a,2020-08-12,4.86,WAPDA TOWN,CHAKLALA,061117 WESTRIDGE,Single,Smart,Itron,2020-08-12,2026-04-15,,33.561570846660324,73.02793317042305,Disconnected,4.541955029068833
9179730,58155688071,11 43862 6709938 U,Basaam Bashaarat,Tahawwur Ubadah,"H NO 611 Tirdad Spurs, CHAKLALA, RAWALPINDI",A-1b,2018-05-07,13.13,RAWALPINDI CANTT,DHOKE KALA KHAN,061120 KOHAT,Single,Smart,Landis+Gyr,2018-05-07,2020-11-18,2025-09-13,33.570617621158185,72.99093239361243,Disconnected,13.896282029439481
2561176,41328503269,11 63005 5081983 U,Tamanna Rohaan,Omran Souma,"H NO 596 Kareem Lakes, CHAKLALA, RAWALPINDI",A-1b,2016-09-25,24.82,SADDAR,MORGHAH,061120 KOHAT,Single,Smart,Elster,2016-09-25,2030-04-11,2026-01-14,33.55028105276142,73.01227452628532,Active,22.351935697322947
3005795,86205093898,11 34267 4213524 U,Ghannam Raashid,Maroof Kaysan,"H NO 496 Qabeel Freeway, CHAKLALA, RAWALPINDI",A-1a,2016-10-19,1.77,RAWALPINDI CANTT,MORGHAH,061120 KOHAT,Single,Smart,Landis+Gyr,2016-10-19,2019-07-25,,33.55118810691494,72.99712675887805,Suspended,1.5056207355723712
5901239,96441712194,11 74340 2721135 U,Azban Iftikhaar,Naeem Raashid,"H NO 588 Ilan Turnpike, CHAKLALA, RAWALPINDI",A-1a,2019-02-19,1.22,SADDAR,KOHAT ROAD,061119 SADDAR,Single,Smart,Siemens,2019-02-19,2031-01-24,,33.60127229646275,72.9783087140725,Active,1.1715452318189465
1899411,27831531731,11 83772 6097514 U,Chawish Tali,El-Amin Umar,"H NO 255 Azban View, DHOKE KALA KHAN, RAWALPINDI",A-1a,2017-12-17,3.52,RAWALPINDI CANTT,KOHAT ROAD,061120 KOHAT,Single,Smart,Elster,2017-12-17,2021-10-31,2025-05-11,33.60111666658262,73.06590312604669,Active,3.61663029463892
2664863,96791788173,11 37659 5440025 U,Nabeel Sabah,Tahmaseb Ghanee,"H NO 161 Jahdami Locks, WESTRIDGE, RAWALPINDI",A-1a,2016-07-11,4.84,GULBERG,MORGHAH,061116 QAYYUMABAD,Single,Smart,Landis+Gyr,2016-07-11,2028-02-01,2026-01-07,33.56209124790077,72.9701639855381,Active,5.240666486645808
4916201,48327906103,11 91927 4318855 U,Badawi Ijli,Bilaal Zahri,"H NO 558 Aadam Ranch, WESTRIDGE, RAWALPINDI",A-2a,2025-03-30,2.82,GULBERG,CHAKLALA,061117 WESTRIDGE,Single,Smart,Landis+Gyr,2025-03-30,,2025-08-01,33.58999577220696,73.02382070493192,Active,2.7513650901039757
7752972,48408501992,11 75597 9284509 U,Pervaiz Wafeeq,Majeed Ihsaan,"H NO 613 Ubaydullah Station, DHOKE KALA KHAN, RAWALPINDI",A-1b,2022-01-02,12.6,SADDAR,CHAKLALA,061120 KOHAT,Single,Smart,Landis+Gyr,2022-01-02,,2025-08-02,33.59869586139062,73.024419910922,Active,15.117844981062353
1674975,75176947899,11 78021 8419378 U,Mahad Ayamin,Zafir Baashir,"H NO 186 Ali Stravenue, MORGHAH, RAWALPINDI",A-2a,2016-02-25,2.08,SADDAR,KOHAT ROAD,061116 QAYYUMABAD,Single,Conventional,Itron,2016-02-25,2021-04-05,2025-08-29,33.525559988458255,72.9829824852659,Disconnected,2.2411364967542156
1615675,20543397009,11 51224 5234550 U,Lahiah Awadil,Taariq Souma,"H NO 994 Najam Shores, KOHAT ROAD, RAWALPINDI",A-1a,2021-05-20,4.78,RAWALPINDI CANTT,DHOKE KALA KHAN,061120 KOHAT,Single,Conventional,Elster,2021-05-20,,2025-07-11,33.57736338726017,73.01674931023823,Disconnected,5.2771019049486645
5832327,77423470484,11 25915 1484348 U,Nadeem Huzaifa,Kamil Ghunayn,"H NO 624 Omran Turnpike, WESTRIDGE, RAWALPINDI",A-1a,2019-01-31,3.2,GULBERG,CHAKLALA,061120 KOHAT,Single,Smart,Elster,2019-01-31,,2025-09-27,33.606392987848416,73.01304478941789,Active,3.389068401643211
5896624,67008925827,11 73242 8922533 U,Qadeer Bashaarat,Said Umair,"H NO 565 Zaakir Corner, WESTRIDGE, RAWALPINDI",A-1a,2021-08-09,4.73,SADDAR,WESTRIDGE,061120 KOHAT,Single,Smart,Landis+Gyr,2021-08-09,2026-06-07,2025-09-02,33.55659424235514,73.06032483936826,Suspended,4.289490678522585
9214801,30896135157,11 68529 9125900 U,Izaaz Awani,Ejaz Rafeek,"H NO 566 Esfandyar Gardens, MORGHAH, RAWALPINDI",A-1a,2021-10-28,3.9,SADDAR,KOHAT ROAD,061118 CHAKLALA,Single,Smart,Siemens,2021-10-28,2029-11-27,,33.59265444750993,72.97126472990973,Disconnected,4.220155494399004
3551903,27338867216,11 75836 6569946 U,Nafees Aaaqil,Radi Ghannam,"H NO 896 Baasit Shoal, KOHAT ROAD, RAWALPINDI",A-2b,2017-05-12,22.37,SATELLITE TOWN,MORGHAH,061119 SADDAR,Single,Smart,Siemens,2017-05-12,2029-01-21,2025-02-16,33.530536121877155,73.01384906009848,Active,20.925445922292212
6512415,86705290622,11 59808 6312692 U,Ghazi Aamir,Fidvi Saariyah,"H NO 909 Aamir Motorway, KOHAT ROAD, RAWALPINDI",A-2a,2017-12-08,3.6,RAWALPINDI CANTT,DHOKE KALA KHAN,061120 KOHAT,Single,Smart,Siemens,2017-12-08,2020-03-15,2025-12-22,33.61484259229562,73.0415766366738,Disconnected,4.288806328637587
2686231,33380421346,11 49251 1485654 U,Qadeer Ejlaal,Taahir Najeeb,"H NO 816 Raaghib Mission, DHOKE KALA KHAN, RAWALPINDI",A-2a,2024-01-11,3.82,WAPDA TOWN,CHAKLALA,061118 CHAKLALA,Single,Conventional,Siemens,2024-01-11,2026-03-26,2025-12-02,33.583280037135275,72.98490568861514,Active,3.176663639808472
5040453,29684510001,11 40433 8736811 U,Saadiq Rabah,Jahdari Umar,"H NO 471 Jamal Freeway, CHAKLALA, RAWALPINDI",A-2b,2020-04-30,32.89,SATELLITE TOWN,KOHAT ROAD,061118 CHAKLALA,Single,Smart,Landis+Gyr,2020-04-30,2024-12-13,2025-06-24,33.573857170512646,73.03079387023601,Disconnected,35.39376456992546
7454081,78089557330,11 23979 4979651 U,Aaus Luqmaan,Majdi Jahdari,"H NO 368 Rusul Mall, MORGHAH, RAWALPINDI",A-1b,2021-07-24,12.55,WAPDA TOWN,CHAKLALA,061116 QAYYUMABAD,Single,Conventional,Itron,2021-07-24,,2025-07-22,33.592931161577006,73.0642602816828,Suspended,13.780764213752532
4860745,41577978060,11 93442 4189885 U,Nafesa Taanish,Najam Zahur,"H NO 695 Talha Light, WESTRIDGE, RAWALPINDI",A-2b,2021-10-02,45.63,SATELLITE TOWN,DHOKE KALA KHAN,061118 CHAKLALA,Single,Conventional,Landis+Gyr,2021-10-02,2029-11-12,2025-02-16,33.524113337574626,72.99641104516292,Disconnected,39.70978256574949
7138070,80999470334,11 45720 3760597 U,Naadir Awamil,Rabbaanee Talha,"H NO 845 Wadi Oval, KOHAT ROAD, RAWALPINDI",A-1a,2022-02-08,3.16,WAPDA TOWN,CHAKLALA,061116 QAYYUMABAD,Single,Conventional,Landis+Gyr,2022-02-08,,2025-02-25,33.601114059689884,73.03932167120756,Disconnected,3.7506289605872407
7619862,44419518557,11 80329 3073474 U,Zaheer Liyaaqat,Qurban Souma,"H NO 689 Naathim Ramp, CHAKLALA, RAWALPINDI",A-2b,2022-09-27,21.46,RAWALPINDI CANTT,KOHAT ROAD,061118 CHAKLALA,Single,Smart,Siemens,2022-09-27,2027-07-16,2025-10-29,33.609416913605784,72.99970062818174,Suspended,19.068216045435133
6069909,68623037048,11 25292 3345069 U,Yaqub Aamirah,Qays Ghauth,"H NO 39 Ilan Light, CHAKLALA, RAWALPINDI",A-1a,2016-08-01,4.3,SADDAR,DHOKE KALA KHAN,061116 QAYYUMABAD,Single,Smart,Siemens,2016-08-01,2022-02-25,2025-05-07,33.61003807684119,73.03654839916376,Suspended,4.1608980158733235
7960607,25697770038,11 74139 7847048 U,Liyaaqat Raatib,Najam Zaafir,"H NO 287 Qutaybah Brook, DHOKE KALA KHAN, RAWALPINDI",A-2a,2023-11-10,1.62,WAPDA TOWN,WESTRIDGE,061119 SADDAR,Single,Conventional,Siemens,2023-11-10,2030-03-25,,33.58366802654813,73.02134658614823,Active,1.3352364577799627
8628891,96810333466,11 93819 1358318 U,Mad Aryan,Yawer Ghazzal,"H NO 342 Ihsaan Flats, WESTRIDGE, RAWALPINDI",A-1a,2025-04-19,4.87,GULBERG,MORGHAH,061117 WESTRIDGE,Single,Smart,Siemens,2025-04-19,2025-06-21,2025-10-13,33.5383998679046,73.0443368577805,Suspended,3.9015236542830722
3180906,46679946108,11 32871 2844258 U,Aarif Umair,Tahmeed Batal,"H NO 27 Aariz Trafficway, WESTRIDGE, RAWALPINDI",A-2b,2018-09-18,11.51,SATELLITE TOWN,CHAKLALA,061117 WESTRIDGE,Single,Smart,Landis+Gyr,2018-09-18,,,33.58927180569542,73.01950855265979,Active,11.400636424808644
2829622,80660825243,11 39038 1727544 U,Umair Waahid,Kasam Taimur,"H NO 931 Kashan Ports, MORGHAH, RAWALPINDI",A-2a,2022-05-26,3.05,WAPDA TOWN,KOHAT ROAD,061116 QAYYUMABAD,Single,Smart,Elster,2022-05-26,2028-10-13,2025-07-18,33.52589618296793,73.03814013148971,Disconnected,2.5296586732350694
2101965,44901727116,11 91830 6455706 U,Ubaidah Saajid,Kaleema Bilaal,"H NO 612 Lutfi Place, MORGHAH, RAWALPINDI",A-1a,2019-07-01,3.43,WAPDA TOWN,KOHAT ROAD,061120 KOHAT,Single,Conventional,Landis+Gyr,2019-07-01,2026-10-13,,33.580571295752314,73.05467062130643,Suspended,3.7329923656542263
4833486,54726988721,11 69441 7689582 U,Rahat Ghutayf,Najam Gohar,"H NO 98 Owais Lake, CHAKLALA, RAWALPINDI",A-1a,2022-06-05,2.81,SADDAR,CHAKLALA,061118 CHAKLALA,Single,Smart,Siemens,2022-06-05,2030-03-31,2025-11-15,33.524222478836606,72.97543643573317,Disconnected,2.356538422203943
2006313,85426439314,11 53207 3050700 U,Batool Gulfam,Waail Qahtan,"H NO 895 Zaahir Mews, KOHAT ROAD, RAWALPINDI",A-2a,2018-09-22,4.25,SATELLITE TOWN,CHAKLALA,061120 KOHAT,Single,Smart,Itron,2018-09-22,,2025-12-31,33.53057301758583,73.01511893962045,Active,3.995193790176025
5673599,42530511828,11 66244 1440466 U,Iftikhar Zarar,Qanit Saajid,"H NO 674 Jaabir Ridge, CHAKLALA, RAWALPINDI",A-1b,2020-09-08,7.87,SATELLITE TOWN,WESTRIDGE,061118 CHAKLALA,Single,Smart,Itron,2020-09-08,2027-02-18,,33.5294251490342,73.03263446348369,Active,6.742621411268194
9900022,62463596241,11 65028 8610913 U,Radi Dawud,Rabbaanee Ghayoor,"H NO 379 Aalam Junctions, CHAKLALA, RAWALPINDI",A-1b,2021-11-05,5.77,WAPDA TOWN,MORGHAH,061120 KOHAT,Single,Smart,Landis+Gyr,2021-11-05,,2025-06-02,33.520076249243296,72.97505815275319,Disconnected,6.143754503001467
5582979,25085412535,11 55242 8212753 U,Saabir Ihsaan,Idrees Tahaw-wur,"H NO 695 Saburah Trace, MORGHAH, RAWALPINDI",A-1b,2020-10-27,16.05,SADDAR,MORGHAH,061118 CHAKLALA,Single,Smart,Siemens,2020-10-27,2024-11-28,2025-11-09,33.51586870858999,72.99704193620185,Active,17.76638396532124
3013003,74457709134,11 66446 3947669 U,Qais Jalil,Kabeer Uhban,"H NO 546 Saajid Inlet, WESTRIDGE, RAWALPINDI",A-2a,2024-03-22,2.16,RAWALPINDI CANTT,MORGHAH,061118 CHAKLALA,Single,Smart,Elster,2024-03-22,2029-11-13,,33.516974153658566,73.05901624345024,Active,2.225455914876622
8007741,24128360242,11 63088 1349914 U,Raed Ubadah,Obaid Man,"H NO 176 Aamil Squares, MORGHAH, RAWALPINDI",A-1b,2026-01-06,22.74,SADDAR,CHAKLALA,061116 QAYYUMABAD,Single,Conventional,Landis+Gyr,2026-01-06,2029-11-15,2025-05-30,33.56749625430007,73.00647666968594,Active,24.975840701522028
2281433,98091854940,11 24945 9902071 U,Gulab Bilaal,Kawkab Bilaal,"H NO 928 Daniel Forge, CHAKLALA, RAWALPINDI",A-1a,2021-05-04,4.12,WAPDA TOWN,WESTRIDGE,061117 WESTRIDGE,Single,Smart,Siemens,2021-05-04,2029-07-29,,33.530386978900594,73.04281523800456,Active,3.587936820505034
8531380,91097779327,11 94278 6422534 U,Zerdad Aaaqil,Ghusharib Basaam,"H NO 643 Kamal Bridge, CHAKLALA, RAWALPINDI",A-2a,2020-10-29,2.98,GULBERG,KOHAT ROAD,061116 QAYYUMABAD,Single,Conventional,Elster,2020-10-29,2029-11-29,2025-04-04,33.5742419756831,73.00209422226202,Active,2.7540061579227224
5816353,96228903058,11 21835 9507186 U,Harnail Ubadah,Aarif Aabid,"H NO 595 Auraq Ports, MORGHAH, RAWALPINDI",A-1b,2020-10-15,6.42,SATELLITE TOWN,KOHAT ROAD,061120 KOHAT,Single,Smart,Itron,2020-10-15,2025-08-16,2025-08-15,33.61087223588666,73.01195231090152,Active,7.658766172247844
1656695,80606778961,11 78517 3663319 U,Luay Eshan,Ihtishaam Majd Udeen,"H NO 940 Ruwaihim Locks, CHAKLALA, RAWALPINDI",A-1a,2024-04-07,3.58,SADDAR,KOHAT ROAD,061118 CHAKLALA,Single,Smart,Itron,2024-04-07,,,33.58293793448401,72.99531469738781,Suspended,4.1145364760706915
3372774,61182036291,11 50662 7575963 U,Talha Raaghib,Babar Sabiq,"H NO 726 Sadan Gateway, DHOKE KALA KHAN, RAWALPINDI",A-1a,2024-06-27,3.33,WAPDA TOWN,MORGHAH,061119 SADDAR,Single,Smart,Siemens,2024-06-27,2025-06-30,2025-09-18,33.58897746721295,73.03544144402777,Suspended,2.7884793494679414
1305857,50212050793,11 33627 4593556 U,Saahir Raatib,Qadeer Esfandyar,"H NO 785 Azban Port, KOHAT ROAD, RAWALPINDI",A-2a,2023-03-16,3.03,GULBERG,WESTRIDGE,061117 WESTRIDGE,Single,Smart,Landis+Gyr,2023-03-16,2028-06-26,2025-03-09,33.565868971272465,73.02087707584137,Suspended,2.469749960737364
3198638,64104761497,11 30218 3722056 U,Wafiq Ghayoor,Zaeem Ubaadah,"H NO 710 Ibrahim Extensions, MORGHAH, RAWALPINDI",A-1a,2017-10-23,4.07,GULBERG,KOHAT ROAD,061116 QAYYUMABAD,Single,Conventional,Itron,2017-10-23,2027-03-14,,33.55951987098053,72.99539279325634,Disconnected,3.6369567933780713
8868776,58077933398,11 98907 8391997 U,Aryan Tamanna,Ubay Tali,"H NO 289 Saalim Fort, KOHAT ROAD, RAWALPINDI",A-1a,2017-05-26,4.86,RAWALPINDI CANTT,MORGHAH,061119 SADDAR,Single,Smart,Siemens,2017-05-26,2022-04-20,,33.5401003211589,73.03101790362045,Active,4.9660272091050945
3091745,19814270928,11 31012 5576678 U,Tahoor Aabid,Wafiq Jamaal,"H NO 526 Waahid Plains, WESTRIDGE, RAWALPINDI",A-1a,2020-12-06,4.38,SADDAR,DHOKE KALA KHAN,061117 WESTRIDGE,Single,Conventional,Itron,2020-12-06,2024-10-02,2025-10-23,33.55474539654703,73.0042961487679,Disconnected,5.246408415369485
2662338,55741232845,11 29142 3308538 U,Baahir Luqman,Bashaar Zafrul,"H NO 940 Zaahid Crossing, KOHAT ROAD, RAWALPINDI",A-1a,2018-08-28,1.11,GULBERG,KOHAT ROAD,061119 SADDAR,Single,Smart,Landis+Gyr,2018-08-28,,,33.530051961896426,73.06092259493414,Suspended,1.1223305486137058
6052478,14818301957,11 41252 8043503 U,Nabih Majeed,Qaadir Ubaadah,"H NO 638 Ossama Street, KOHAT ROAD, RAWALPINDI",A-1a,2024-02-05,2.15,SATELLITE TOWN,DHOKE KALA KHAN,061119 SADDAR,Single,Smart,Siemens,2024-02-05,2026-11-02,,33.51525643359334,73.00218160396261,Suspended,2.078248131879344
