billing_month,issue_date,due_date,units_consumed,variable_charges,fixed_charges,gst,electricity_duty,tv_fee,late_payment_surcharge,total_amount,amount_within_due_date,amount_after_due_date,tariff_applied,reference_no,meter_number,consumer_id,consumer_name,address
AUG 24,2024-08-25,2024-09-08,3616.97,65117.41,100.0,11739.13,976.76,0,0.0,77933.31,77933.31,81829.97,A-1b,11 15493 1769363 U,54764787985,1109031,Zahrun Batal,"H NO 782 Yathrib Squares, CHAKLALA, RAWALPINDI"
SEP 24,2024-09-25,2024-10-09,3047.66,53161.9,100.0,9587.14,797.43,35,0.0,63681.47,63681.47,66865.55,A-1b,11 73530 2131164 U,54764787985,1109031,Zahrun Batal,"H NO 782 Yathrib Squares, CHAKLALA, RAWALPINDI"
OCT 24,2024-10-25,2024-11-08,2523.47,42153.97,100.0,7605.72,632.31,0,0.0,50492.0,50492.0,53016.6,A-1b,11 38614 4070672 U,54764787985,1109031,Zahrun Batal,"H NO 782 Yathrib Squares, CHAKLALA, RAWALPINDI"
NOV 24,2024-11-25,2024-12-09,2132.26,33938.42,100.0,6126.92,509.08,0,0.0,40674.41,40674.41,42708.13,A-1b,11 66378 4970851 U,54764787985,1109031,Zahrun Batal,"H NO 782 Yathrib Squares, CHAKLALA, RAWALPINDI"
DEC 24,2024-12-25,2025-01-08,1943.86,29982.14,100.0,5414.79,449.73,0,0.0,35946.66,35946.66,37744.0,A-1b,11 92955 1531914 U,54764787985,1109031,Zahrun Batal,"H NO 782 Yathrib Squares, CHAKLALA, RAWALPINDI"
JAN 25,2025-01-25,2025-02-08,1904.01,29145.11,100.0,5264.12,437.18,35,0.0,34981.4,34981.4,36730.47,A-1b,11 50568 9752801 U,54764787985,1109031,Zahrun Batal,"H NO 782 Yathrib Squares, CHAKLALA, RAWALPINDI"
JAN 24,2024-01-25,2024-02-08,19271.49,269800.8,1316.0,48801.02,4047.01,35,0.0,323999.84,323999.84,340199.83,B-1,11 41333 8112562 U,99461611826,5918715,Ubaid Ghanee,"H NO 722 Ghanee Drives, DHOKE KALA KHAN, RAWALPINDI"
FEB 24,2024-02-25,2024-03-10,18257.25,255601.56,1316.0,46245.16,3834.02,0,12845.88,319842.62,319842.62,335834.75,B-1,11 75415 7171189 U,99461611826,5918715,Ubaid Ghanee,"H NO 722 Ghanee Drives, DHOKE KALA KHAN, RAWALPINDI"
MAR 24,2024-03-25,2024-04-08,22472.96,314621.38,1316.0,56868.73,4719.32,35,15796.87,393357.3,393357.3,413025.17,B-1,11 32391 8464741 U,99461611826,5918715,Ubaid Ghanee,"H NO 722 Ghanee Drives, DHOKE KALA KHAN, RAWALPINDI"
APR 24,2024-04-25,2024-05-09,24278.24,339895.3,1316.0,61418.03,5098.43,35,0.0,407762.77,407762.77,428150.91,B-1,11 99844 5593014 U,99461611826,5918715,Ubaid Ghanee,"H NO 722 Ghanee Drives, DHOKE KALA KHAN, RAWALPINDI"
MAY 24,2024-05-25,2024-06-08,33272.28,465811.91,1316.0,84083.02,6987.18,35,0.0,558233.11,558233.11,586144.76,B-1,11 55442 1552775 U,99461611826,5918715,Ubaid Ghanee,"H NO 722 Ghanee Drives, DHOKE KALA KHAN, RAWALPINDI"
JUN 24,2024-06-25,2024-07-09,38236.02,535304.22,1316.0,96591.64,8029.56,0,0.0,641241.43,641241.43,673303.5,B-1,11 44638 5847848 U,99461611826,5918715,Ubaid Ghanee,"H NO 722 Ghanee Drives, DHOKE KALA KHAN, RAWALPINDI"
JUL 24,2024-07-25,2024-08-08,38782.12,542949.62,1316.0,97967.81,8144.24,0,0.0,650377.68,650377.68,682896.56,B-1,11 11789 5693993 U,99461611826,5918715,Ubaid Ghanee,"H NO 722 Ghanee Drives, DHOKE KALA KHAN, RAWALPINDI"
AUG 24,2024-08-25,2024-09-08,36353.95,508955.23,1316.0,91848.82,7634.33,35,25513.56,635302.94,635302.94,667068.09,B-1,11 77262 5443104 U,99461611826,5918715,Ubaid Ghanee,"H NO 722 Ghanee Drives, DHOKE KALA KHAN, RAWALPINDI"
SEP 24,2024-09-25,2024-10-09,29959.29,419430.1,1316.0,75734.3,6291.45,0,0.0,502771.85,502771.85,527910.44,B-1,11 22668 4624284 U,99461611826,5918715,Ubaid Ghanee,"H NO 722 Ghanee Drives, DHOKE KALA KHAN, RAWALPINDI"
OCT 24,2024-10-25,2024-11-08,24824.44,347542.16,1316.0,62794.47,5213.13,0,0.0,416865.76,416865.76,437709.05,B-1,11 46960 1528949 U,99461611826,5918715,Ubaid Ghanee,"H NO 722 Ghanee Drives, DHOKE KALA KHAN, RAWALPINDI"
NOV 24,2024-11-25,2024-12-09,21361.62,299062.74,1316.0,54068.17,4485.94,35,0.0,358967.85,358967.85,376916.24,B-1,11 49220 1618307 U,99461611826,5918715,Ubaid Ghanee,"H NO 722 Ghanee Drives, DHOKE KALA KHAN, RAWALPINDI"
DEC 24,2024-12-25,2025-01-08,19584.03,274176.38,1316.0,49588.63,4112.65,35,0.0,329228.65,329228.65,345690.08,B-1,11 70313 7813868 U,99461611826,5918715,Ubaid Ghanee,"H NO 722 Ghanee Drives, DHOKE KALA KHAN, RAWALPINDI"
JAN 25,2025-01-25,2025-02-08,18598.11,260373.5,1316.0,47104.11,3905.6,0,0.0,312699.21,312699.21,328334.17,B-1,11 56137 2889677 U,99461611826,5918715,Ubaid Ghanee,"H NO 722 Ghanee Drives, DHOKE KALA KHAN, RAWALPINDI"
JAN 24,2024-01-25,2024-02-08,1964.11,30407.37,50.0,5482.33,456.11,0,0.0,36395.81,36395.81,38215.6,A-1a,11 86447 6998810 U,98515543667,2197935,Zahri Raatib,"H NO 168 Ubaydullah Stream, KOHAT ROAD, RAWALPINDI"
FEB 24,2024-02-25,2024-03-10,1832.25,27638.27,50.0,4983.89,414.57,0,0.0,33086.73,33086.73,34741.07,A-1a,11 27771 5991814 U,98515543667,2197935,Zahri Raatib,"H NO 168 Ubaydullah Stream, KOHAT ROAD, RAWALPINDI"
MAR 24,2024-03-25,2024-04-08,2243.67,36278.01,50.0,6539.04,544.17,0,0.0,43411.22,43411.22,45581.78,A-1a,11 31654 4574745 U,98515543667,2197935,Zahri Raatib,"H NO 168 Ubaydullah Stream, KOHAT ROAD, RAWALPINDI"
APR 24,2024-04-25,2024-05-09,2412.16,39816.36,50.0,7175.94,597.25,0,0.0,47639.55,47639.55,50021.53,A-1a,11 61260 2163388 U,98515543667,2197935,Zahri Raatib,"H NO 168 Ubaydullah Stream, KOHAT ROAD, RAWALPINDI"
MAY 24,2024-05-25,2024-06-08,3348.69,59483.55,50.0,10716.04,892.25,0,0.0,71141.85,71141.85,74698.94,A-1a,11 82071 7069752 U,98515543667,2197935,Zahri Raatib,"H NO 168 Ubaydullah Stream, KOHAT ROAD, RAWALPINDI"
JUN 24,2024-06-25,2024-07-09,3761.44,68151.2,50.0,12276.22,1022.27,0,0.0,81499.68,81499.68,85574.67,A-1a,11 72354 3003473 U,98515543667,2197935,Zahri Raatib,"H NO 168 Ubaydullah Stream, KOHAT ROAD, RAWALPINDI"
JUL 24,2024-07-25,2024-08-08,3915.44,71385.18,50.0,12858.33,1070.78,35,0.0,85399.29,85399.29,89669.25,A-1a,11 54813 6022209 U,98515543667,2197935,Zahri Raatib,"H NO 168 Ubaydullah Stream, KOHAT ROAD, RAWALPINDI"
AUG 24,2024-08-25,2024-09-08,3580.48,64351.04,50.0,11592.19,965.27,35,0.0,76993.49,76993.49,80843.16,A-1a,11 75401 7351555 U,98515543667,2197935,Zahri Raatib,"H NO 168 Ubaydullah Stream, KOHAT ROAD, RAWALPINDI"
SEP 24,2024-09-25,2024-10-09,2991.2,51976.2,50.0,9364.72,779.64,35,0.0,62205.56,62205.56,65315.84,A-1a,11 11991 8226864 U,98515543667,2197935,Zahri Raatib,"H NO 168 Ubaydullah Stream, KOHAT ROAD, RAWALPINDI"
OCT 24,2024-10-25,2024-11-08,2513.43,41942.99,50.0,7558.74,629.14,0,0.0,50180.87,50180.87,52689.91,A-1a,11 41714 1428281 U,98515543667,2197935,Zahri Raatib,"H NO 168 Ubaydullah Stream, KOHAT ROAD, RAWALPINDI"
NOV 24,2024-11-25,2024-12-09,2167.15,34671.09,50.0,6249.8,520.07,0,0.0,41490.95,41490.95,43565.5,A-1a,11 20548 5242997 U,98515543667,2197935,Zahri Raatib,"H NO 168 Ubaydullah Stream, KOHAT ROAD, RAWALPINDI"
DEC 24,2024-12-25,2025-01-08,1946.83,30044.35,50.0,5416.98,450.67,0,0.0,35961.99,35961.99,37760.09,A-1a,11 64547 9234882 U,98515543667,2197935,Zahri Raatib,"H NO 168 Ubaydullah Stream, KOHAT ROAD, RAWALPINDI"
JAN 25,2025-01-25,2025-02-08,1884.79,28741.67,50.0,5182.5,431.13,0,0.0,34405.3,34405.3,36125.57,A-1a,11 43496 5245547 U,98515543667,2197935,Zahri Raatib,"H NO 168 Ubaydullah Stream, KOHAT ROAD, RAWALPINDI"
JAN 24,2024-01-25,2024-02-08,1956.45,30246.53,50.0,5453.38,453.7,35,0.0,36238.61,36238.61,38050.54,A-1a,11 14269 1584328 U,96812569967,6279418,Vahar Rohaan,"H NO 659 Tahmaseb Cape, KOHAT ROAD, RAWALPINDI"
FEB 24,2024-02-25,2024-03-10,1813.34,27241.12,50.0,4912.4,408.62,0,0.0,32612.14,32612.14,34242.74,A-1a,11 74302 5369395 U,96812569967,6279418,Vahar Rohaan,"H NO 659 Tahmaseb Cape, KOHAT ROAD, RAWALPINDI"
MAR 24,2024-03-25,2024-04-08,2224.38,35872.92,50.0,6466.13,538.09,0,0.0,42927.14,42927.14,45073.49,A-1a,11 30738 1337353 U,96812569967,6279418,Vahar Rohaan,"H NO 659 Tahmaseb Cape, KOHAT ROAD, RAWALPINDI"
APR 24,2024-04-25,2024-05-09,2412.71,39827.95,50.0,7178.03,597.42,0,0.0,47653.4,47653.4,50036.07,A-1a,11 98282 6534683 U,96812569967,6279418,Vahar Rohaan,"H NO 659 Tahmaseb Cape, KOHAT ROAD, RAWALPINDI"
MAY 24,2024-05-25,2024-06-08,3308.44,58638.22,50.0,10563.88,879.57,0,0.0,70131.67,70131.67,73638.26,A-1a,11 28727 7514539 U,96812569967,6279418,Vahar Rohaan,"H NO 659 Tahmaseb Cape, KOHAT ROAD, RAWALPINDI"
JUN 24,2024-06-25,2024-07-09,3863.06,70285.34,50.0,12660.36,1054.28,0,0.0,84049.99,84049.99,88252.49,A-1a,11 57812 8359311 U,96812569967,6279418,Vahar Rohaan,"H NO 659 Tahmaseb Cape, KOHAT ROAD, RAWALPINDI"
JUL 24,2024-07-25,2024-08-08,3905.13,71168.77,50.0,12819.38,1067.53,0,0.0,85105.68,85105.68,89360.97,A-1a,11 68240 8421054 U,96812569967,6279418,Vahar Rohaan,"H NO 659 Tahmaseb Cape, KOHAT ROAD, RAWALPINDI"
AUG 24,2024-08-25,2024-09-08,3593.46,64623.76,50.0,11641.28,969.36,35,0.0,77319.4,77319.4,81185.37,A-1a,11 73334 3642051 U,96812569967,6279418,Vahar Rohaan,"H NO 659 Tahmaseb Cape, KOHAT ROAD, RAWALPINDI"
SEP 24,2024-09-25,2024-10-09,2991.99,51992.79,50.0,9367.7,779.89,0,0.0,62190.38,62190.38,65299.9,A-1a,11 87124 9870176 U,96812569967,6279418,Vahar Rohaan,"H NO 659 Tahmaseb Cape, KOHAT ROAD, RAWALPINDI"
OCT 24,2024-10-25,2024-11-08,2463.68,40898.38,50.0,7370.71,613.48,0,0.0,48932.57,48932.57,51379.2,A-1a,11 78652 6352701 U,96812569967,6279418,Vahar Rohaan,"H NO 659 Tahmaseb Cape, KOHAT ROAD, RAWALPINDI"
NOV 24,2024-11-25,2024-12-09,2164.04,34605.84,50.0,6238.05,519.09,0,1732.79,43145.77,43145.77,45303.06,A-1a,11 73878 2325957 U,96812569967,6279418,Vahar Rohaan,"H NO 659 Tahmaseb Cape, KOHAT ROAD, RAWALPINDI"
DEC 24,2024-12-25,2025-01-08,1949.96,30110.2,50.0,5428.84,451.65,0,0.0,36040.69,36040.69,37842.73,A-1a,11 85298 1516343 U,96812569967,6279418,Vahar Rohaan,"H NO 659 Tahmaseb Cape, KOHAT ROAD, RAWALPINDI"
JAN 25,2025-01-25,2025-02-08,1854.63,28108.33,50.0,5068.5,421.63,35,0.0,33683.46,33683.46,35367.63,A-1a,11 81644 4749431 U,96812569967,6279418,Vahar Rohaan,"H NO 659 Tahmaseb Cape, KOHAT ROAD, RAWALPINDI"
JAN 24,2024-01-25,2024-02-08,1947.03,30048.63,50.0,5417.75,450.73,0,0.0,35967.11,35967.11,37765.47,A-1a,11 63839 8884239 U,96555794399,2839607,Gulshan Mahfuj,"H NO 395 Ubaid Land, KOHAT ROAD, RAWALPINDI"
FEB 24,2024-02-25,2024-03-10,1809.8,27166.91,50.0,4899.04,407.5,0,0.0,32523.45,32523.45,34149.62,A-1a,11 19284 2315720 U,96555794399,2839607,Gulshan Mahfuj,"H NO 395 Ubaid Land, KOHAT ROAD, RAWALPINDI"
MAR 24,2024-03-25,2024-04-08,2235.33,36102.91,50.0,6507.52,541.54,0,1807.65,45009.62,45009.62,47260.1,A-1a,11 36337 7602323 U,96555794399,2839607,Gulshan Mahfuj,"H NO 395 Ubaid Land, KOHAT ROAD, RAWALPINDI"
APR 24,2024-04-25,2024-05-09,2423.62,40057.1,50.0,7219.28,600.86,0,0.0,47927.24,47927.24,50323.6,A-1a,11 14170 5076377 U,96555794399,2839607,Gulshan Mahfuj,"H NO 395 Ubaid Land, KOHAT ROAD, RAWALPINDI"
MAY 24,2024-05-25,2024-06-08,3338.03,59259.61,50.0,10675.73,888.89,0,2965.48,73839.71,73839.71,77531.7,A-1a,11 70064 5572462 U,96555794399,2839607,Gulshan Mahfuj,"H NO 395 Ubaid Land, KOHAT ROAD, RAWALPINDI"
JUN 24,2024-06-25,2024-07-09,3815.71,69290.99,50.0,12481.38,1039.36,0,0.0,82861.74,82861.74,87004.82,A-1a,11 13939 1527191 U,96555794399,2839607,Gulshan Mahfuj,"H NO 395 Ubaid Land, KOHAT ROAD, RAWALPINDI"
JUL 24,2024-07-25,2024-08-08,3805.12,69068.52,50.0,12441.33,1036.03,0,0.0,82595.88,82595.88,86725.68,A-1a,11 84190 7951848 U,96555794399,2839607,Gulshan Mahfuj,"H NO 395 Ubaid Land, KOHAT ROAD, RAWALPINDI"
AUG 24,2024-08-25,2024-09-08,3612.13,65015.73,50.0,11711.83,975.24,35,0.0,77787.8,77787.8,81677.19,A-1a,11 39295 4021635 U,96555794399,2839607,Gulshan Mahfuj,"H NO 395 Ubaid Land, KOHAT ROAD, RAWALPINDI"
SEP 24,2024-09-25,2024-10-09,2963.43,51393.11,50.0,9259.76,770.9,0,0.0,61473.77,61473.77,64547.46,A-1a,11 80016 5054589 U,96555794399,2839607,Gulshan Mahfuj,"H NO 395 Ubaid Land, KOHAT ROAD, RAWALPINDI"
OCT 24,2024-10-25,2024-11-08,2474.71,41129.89,50.0,7412.38,616.95,0,0.0,49209.22,49209.22,51669.68,A-1a,11 61269 2709148 U,96555794399,2839607,Gulshan Mahfuj,"H NO 395 Ubaid Land, KOHAT ROAD, RAWALPINDI"
NOV 24,2024-11-25,2024-12-09,2171.51,34762.77,50.0,6266.3,521.44,0,1740.64,43341.15,43341.15,45508.21,A-1a,11 15026 2441607 U,96555794399,2839607,Gulshan Mahfuj,"H NO 395 Ubaid Land, KOHAT ROAD, RAWALPINDI"
DEC 24,2024-12-25,2025-01-08,1948.39,30077.13,50.0,5422.88,451.16,35,0.0,36036.17,36036.17,37837.98,A-1a,11 78336 1526667 U,96555794399,2839607,Gulshan Mahfuj,"H NO 395 Ubaid Land, KOHAT ROAD, RAWALPINDI"
JAN 25,2025-01-25,2025-02-08,1875.12,28538.6,50.0,5145.95,428.08,35,0.0,34197.63,34197.63,35907.51,A-1a,11 30561 9469001 U,96555794399,2839607,Gulshan Mahfuj,"H NO 395 Ubaid Land, KOHAT ROAD, RAWALPINDI"
JAN 24,2024-01-25,2024-02-08,1952.85,30170.93,100.0,5448.77,452.56,0,0.0,36172.27,36172.27,37980.88,A-1b,11 84953 1884567 U,82893704331,5418934,Yasir Luqman,"H NO 892 Quadir Light, CHAKLALA, RAWALPINDI"
FEB 24,2024-02-25,2024-03-10,1832.41,27641.57,100.0,4993.48,414.62,0,0.0,33149.67,33149.67,34807.16,A-1b,11 41754 1978109 U,82893704331,5418934,Yasir Luqman,"H NO 892 Quadir Light, CHAKLALA, RAWALPINDI"
MAR 24,2024-03-25,2024-04-08,2250.76,36426.96,100.0,6574.85,546.4,0,0.0,43648.22,43648.22,45830.63,A-1b,11 12977 3991630 U,82893704331,5418934,Yasir Luqman,"H NO 892 Quadir Light, CHAKLALA, RAWALPINDI"
APR 24,2024-04-25,2024-05-09,2433.42,40262.76,100.0,7265.3,603.94,35,0.0,48266.99,48266.99,50680.34,A-1b,11 11989 4185031 U,82893704331,5418934,Yasir Luqman,"H NO 892 Quadir Light, CHAKLALA, RAWALPINDI"
MAY 24,2024-05-25,2024-06-08,3323.21,58948.37,100.0,10628.71,884.23,0,2952.42,73513.72,73513.72,77189.4,A-1b,11 26928 5704057 U,82893704331,5418934,Yasir Luqman,"H NO 892 Quadir Light, CHAKLALA, RAWALPINDI"
JUN 24,2024-06-25,2024-07-09,3826.57,69519.03,100.0,12531.43,1042.79,0,0.0,83193.24,83193.24,87352.91,A-1b,11 67481 7017784 U,82893704331,5418934,Yasir Luqman,"H NO 892 Quadir Light, CHAKLALA, RAWALPINDI"
JUL 24,2024-07-25,2024-08-08,3876.8,70573.82,100.0,12721.29,1058.61,35,0.0,84488.72,84488.72,88713.15,A-1b,11 67945 8602114 U,82893704331,5418934,Yasir Luqman,"H NO 892 Quadir Light, CHAKLALA, RAWALPINDI"
AUG 24,2024-08-25,2024-09-08,3676.74,66372.44,100.0,11965.04,995.59,35,0.0,79468.06,79468.06,83441.46,A-1b,11 65841 9088538 U,82893704331,5418934,Yasir Luqman,"H NO 892 Quadir Light, CHAKLALA, RAWALPINDI"
SEP 24,2024-09-25,2024-10-09,2972.78,51589.4,100.0,9304.09,773.84,35,2584.47,64386.8,64386.8,67606.14,A-1b,11 71402 5602233 U,82893704331,5418934,Yasir Luqman,"H NO 892 Quadir Light, CHAKLALA, RAWALPINDI"
OCT 24,2024-10-25,2024-11-08,2522.64,42136.38,100.0,7602.55,632.05,35,0.0,50505.97,50505.97,53031.27,A-1b,11 43329 3932393 U,82893704331,5418934,Yasir Luqman,"H NO 892 Quadir Light, CHAKLALA, RAWALPINDI"
NOV 24,2024-11-25,2024-12-09,2152.77,34369.23,100.0,6204.46,515.54,0,0.0,41189.23,41189.23,43248.7,A-1b,11 48240 4077781 U,82893704331,5418934,Yasir Luqman,"H NO 892 Quadir Light, CHAKLALA, RAWALPINDI"
DEC 24,2024-12-25,2025-01-08,1970.64,30544.46,100.0,5516.0,458.17,0,0.0,36618.63,36618.63,38449.56,A-1b,11 92010 7664722 U,82893704331,5418934,Yasir Luqman,"H NO 892 Quadir Light, CHAKLALA, RAWALPINDI"
JAN 25,2025-01-25,2025-02-08,1869.58,28422.14,100.0,5133.98,426.33,0,1426.11,35508.56,35508.56,37283.99,A-1b,11 71386 8997624 U,82893704331,5418934,Yasir Luqman,"H NO 892 Quadir Light, CHAKLALA, RAWALPINDI"
JAN 24,2024-01-25,2024-02-08,1962.63,30376.23,100.0,5485.72,455.64,0,0.0,36417.59,36417.59,38238.47,A-1b,11 15891 3521617 U,41385534207,7089806,Labeeb Daamin,"H NO 970 Jad Circles, DHOKE KALA KHAN, RAWALPINDI"
FEB 24,2024-02-25,2024-03-10,1790.18,26754.84,100.0,4833.87,401.32,35,0.0,32125.04,32125.04,33731.29,A-1b,11 73967 6579004 U,41385534207,7089806,Labeeb Daamin,"H NO 970 Jad Circles, DHOKE KALA KHAN, RAWALPINDI"
MAR 24,2024-03-25,2024-04-08,2248.79,36385.51,100.0,6567.39,545.78,0,0.0,43598.68,43598.68,45778.61,A-1b,11 64030 9850492 U,41385534207,7089806,Labeeb Daamin,"H NO 970 Jad Circles, DHOKE KALA KHAN, RAWALPINDI"
APR 24,2024-04-25,2024-05-09,2416.36,39904.46,100.0,7200.8,598.57,0,0.0,47803.82,47803.82,50194.01,A-1b,11 65877 6609961 U,41385534207,7089806,Labeeb Daamin,"H NO 970 Jad Circles, DHOKE KALA KHAN, RAWALPINDI"
MAY 24,2024-05-25,2024-06-08,3316.58,58809.22,100.0,10603.66,882.14,0,0.0,70395.02,70395.02,73914.77,A-1b,11 36723 7221798 U,41385534207,7089806,Labeeb Daamin,"H NO 970 Jad Circles, DHOKE KALA KHAN, RAWALPINDI"
JUN 24,2024-06-25,2024-07-09,3795.94,68875.84,100.0,12415.65,1033.14,35,0.0,82459.63,82459.63,86582.62,A-1b,11 23880 9312809 U,41385534207,7089806,Labeeb Daamin,"H NO 970 Jad Circles, DHOKE KALA KHAN, RAWALPINDI"
JUL 24,2024-07-25,2024-08-08,3914.77,71371.09,100.0,12864.8,1070.57,0,0.0,85406.45,85406.45,89676.77,A-1b,11 66908 9553637 U,41385534207,7089806,Labeeb Daamin,"H NO 970 Jad Circles, DHOKE KALA KHAN, RAWALPINDI"
AUG 24,2024-08-25,2024-09-08,3609.87,64968.19,100.0,11712.27,974.52,0,0.0,77754.98,77754.98,81642.73,A-1b,11 51316 2849420 U,41385534207,7089806,Labeeb Daamin,"H NO 970 Jad Circles, DHOKE KALA KHAN, RAWALPINDI"
SEP 24,2024-09-25,2024-10-09,2953.73,51189.29,100.0,9232.07,767.84,35,0.0,61324.2,61324.2,64390.41,A-1b,11 36932 6192508 U,41385534207,7089806,Labeeb Daamin,"H NO 970 Jad Circles, DHOKE KALA KHAN, RAWALPINDI"
OCT 24,2024-10-25,2024-11-08,2541.22,42526.72,100.0,7672.81,637.9,35,0.0,50972.44,50972.44,53521.06,A-1b,11 69070 9107714 U,41385534207,7089806,Labeeb Daamin,"H NO 970 Jad Circles, DHOKE KALA KHAN, RAWALPINDI"
NOV 24,2024-11-25,2024-12-09,2176.91,34876.13,100.0,6295.7,523.14,0,1748.81,43543.78,43543.78,45720.97,A-1b,11 15457 5964013 U,41385534207,7089806,Labeeb Daamin,"H NO 970 Jad Circles, DHOKE KALA KHAN, RAWALPINDI"
